summ_idx,func_idx,func_value
6,4,"(36, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
6,4,"(42, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
6,4,"(65, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
6,4,"(68, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
6,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
6,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
6,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
6,6,"(13, '%let password = password_exposed;\n')"
6,6,"(47, '%let password = password_exposed;\n')"
6,6,"(71, '%let password = password_exposed;\n')"
6,6,"(103, '%let password = password_exposed;\n')"
6,7,0
6,8,12
7,1,"{'create_dt': '2023-06-18T13:56:27.126773', 'modified_dt': '2023-06-18T13:56:27.126773'}"
7,2,58
7,3,2
7,4,"(6, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
7,4,"(34, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
7,6,"(1, '%let password = password_exposed;\n')"
7,6,"(3, '%let password = password_exposed;\n')"
7,6,"(37, '%let password = password_exposed;\n')"
7,6,"(55, '%let password = password_exposed;\n')"
7,6,"(58, '%let password = password_exposed;\n')"
7,7,0
7,8,3
8,1,"{'create_dt': '2023-06-18T13:56:27.132201', 'modified_dt': '2023-06-18T13:56:27.132201'}"
8,2,177
8,3,15
8,4,"(11, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
8,4,"(28, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
8,4,"(39, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(44, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
8,4,"(52, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(55, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(71, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(77, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(80, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(85, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
8,4,"(108, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(118, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(121, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
8,4,"(126, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,4,"(174, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
8,6,"(19, '%let password = password_exposed;\n')"
8,6,"(88, '%let password = password_exposed;\n')"
8,6,"(114, '%let password = password_exposed;\n')"
8,7,0
8,8,21
9,1,"{'create_dt': '2023-06-18T13:56:27.132526', 'modified_dt': '2023-06-18T13:56:27.132526'}"
9,2,33
9,3,0
9,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
9,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
9,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
9,6,"(16, '%let password = password_exposed;\n')"
9,6,"(28, '%let password = password_exposed;\n')"
9,7,0
9,8,4
10,1,"{'create_dt': '2023-06-18T13:56:27.127118', 'modified_dt': '2023-06-18T13:56:27.127118'}"
10,2,93
10,3,4
10,4,"(28, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
10,4,"(35, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
10,4,"(47, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
10,4,"(52, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
10,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
10,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
10,6,"(50, '%let password = password_exposed;\n')"
10,6,"(60, '%let password = password_exposed;\n')"
10,6,"(67, '%let password = password_exposed;\n')"
10,7,0
10,8,11
11,1,"{'create_dt': '2023-06-18T13:56:27.127884', 'modified_dt': '2023-06-18T13:56:27.127884'}"
11,2,173
11,3,15
11,4,"(2, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(8, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(20, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(23, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(36, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
11,4,"(43, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
11,4,"(77, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(80, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
11,4,"(114, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(119, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(122, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
11,4,"(130, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(139, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
11,4,"(147, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,4,"(165, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
11,6,"(39, '%let password = password_exposed;\n')"
11,6,"(151, '%let password = password_exposed;\n')"
11,6,"(169, '%let password = password_exposed;\n')"
11,7,0
11,8,18
12,1,"{'create_dt': '2023-06-18T13:56:27.127412', 'modified_dt': '2023-06-18T13:56:27.127412'}"
12,2,33
12,3,0
12,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
12,6,"(3, '%let password = password_exposed;\n')"
12,7,0
12,8,4
13,1,"{'create_dt': '2023-06-18T13:56:27.146090', 'modified_dt': '2023-06-18T13:56:27.146090'}"
13,2,164
13,3,16
13,4,"(8, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(19, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(52, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(60, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(64, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(70, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(83, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(89, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(92, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(97, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(109, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(115, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(127, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
13,4,"(132, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(135, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,4,"(155, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
13,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
13,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
13,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
13,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
13,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
13,6,"(1, '%let password = password_exposed;\n')"
13,6,"(27, '%let password = password_exposed;\n')"
13,6,"(68, '%let password = password_exposed;\n')"
13,6,"(69, '%let password = password_exposed;\n')"
13,6,"(100, '%let password = password_exposed;\n')"
13,6,"(104, '%let password = password_exposed;\n')"
13,6,"(112, '%let password = password_exposed;\n')"
13,6,"(140, '%let password = password_exposed;\n')"
13,6,"(158, '%let password = password_exposed;\n')"
13,7,0
13,8,11
14,1,"{'create_dt': '2023-06-18T13:56:27.150274', 'modified_dt': '2023-06-18T13:56:27.150274'}"
14,2,172
14,3,9
14,4,"(1, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
14,4,"(4, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
14,4,"(49, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
14,4,"(52, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
14,4,"(68, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
14,4,"(109, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
14,4,"(128, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
14,4,"(150, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
14,4,"(163, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
14,6,"(33, '%let password = password_exposed;\n')"
14,6,"(41, '%let password = password_exposed;\n')"
14,6,"(56, '%let password = password_exposed;\n')"
14,6,"(59, '%let password = password_exposed;\n')"
14,6,"(103, '%let password = password_exposed;\n')"
14,6,"(137, '%let password = password_exposed;\n')"
14,6,"(149, '%let password = password_exposed;\n')"
14,6,"(156, '%let password = password_exposed;\n')"
14,7,0
14,8,12
15,1,"{'create_dt': '2023-06-18T13:56:27.124564', 'modified_dt': '2023-06-18T13:56:27.124564'}"
15,2,167
15,3,9
15,4,"(3, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
15,4,"(19, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
15,4,"(22, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
15,4,"(44, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
15,4,"(53, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
15,4,"(68, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
15,4,"(110, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
15,4,"(130, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
15,4,"(162, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
15,6,"(32, '%let password = password_exposed;\n')"
15,6,"(35, '%let password = password_exposed;\n')"
15,6,"(62, '%let password = password_exposed;\n')"
15,6,"(113, '%let password = password_exposed;\n')"
15,6,"(123, '%let password = password_exposed;\n')"
15,6,"(133, '%let password = password_exposed;\n')"
15,7,0
15,8,16
16,1,"{'create_dt': '2023-06-18T13:56:27.153230', 'modified_dt': '2023-06-18T13:56:27.153230'}"
16,2,194
16,3,11
16,4,"(7, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
16,4,"(15, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
16,4,"(29, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
16,4,"(32, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
16,4,"(40, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
16,4,"(59, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
16,4,"(73, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
16,4,"(146, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
16,4,"(165, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
