f_name,dir_path,func_descr,func_value
sas_script_4.sas,test_data,sql_code,"[(24, 'Select quote(trim(email)) into :To_Email SEPARATED BY "" "" from COMMON.DISTLISTS WHERE Report = \'FSR_Antnem_TX\' AND Status = \'TO\''), (29, 'Select quote(trim(email)) into :CC_Email SEPARATED BY "" "" from COMMON.DISTLISTS WHERE Report = \'FSR_Anthem_TX\' AND Status = \'CC\''), (36, 'select ""\'""Irtrim(clientid)II""\'"" into :cProfiles separated by "","" from common.profl where family = &family;'), (83, 'select distinct cats(""\'"",1v11 - acct_gid,""\'"") into :pgid separated by \',\' from dwu _ edw.v _ ems _ trnmt _ dtl as ect where ect.clnt_profl_id in (&cProfiles); select distinct cats(""\'"",1v13_acct_gid,""\'"") into :pgid _3_ separated by \',\' from dwu edw.v ems trnmt dtl as ect where ect.clnt_profl_id in (&cProfiles);'), (95, 'CONNECT TO teradata (database=dwu_edw tdpid=prdedwl user=6.userid password=""&password"" connection=global); CREATE TABLE work.ECA AS SELECT * FROM CONNECTION TO TERADATA /* Encountered*/ Select ECA.LVLl_acctid AS Carrier , ECA.LVL2_acct_id AS acct /* , coalesce(cag.FSR_DESC,\'Unknown\') as family*/ \'• ENCOUNTERED\' AS Ql Status /* , eca.clmnbr*7 /* , eca.clm_seq_nbr*/ , eca.clm_txn_cd , extract(year from ECA.srvc_dt) as yr , extract(month from ECA.srvc_dt) As mth , SUM(RBL_DUE_AMT) AS dollars ,substr(ect.OUTBD_STRNG_TXT,45,2) AS FAC_Submitted ,eca.LVLl_ACCT_ID ,eca.LVL2_ACCT_ID ,eca.LVL3 ACCT ID FROM DWU_EDW.V_PHMCY CLMEMS_DTL AS ECA inner join DWU_El3W.VMS_TRNMT_DTL AS ECT ON ECA.PRMCY_CLM_kMS_DTL_GID EQ ECT.PHMCY_CLm_EMs_DTL_GID AND ECA.clnt_profl_id in (&cProfiles) AND ECT.clnt_profl_id in (&cProfiles) AND cast(eca.clm_adjn_bgn_ts as date)BETWEEN &xsstart and &xeend AND eca.srvc_dt BETWEEN &xsstartand&xeend AND ect.srvc_dt BETWEEN &xsstartand&xeend AND ECA.selfcrteb2_IND ne \'Y\' AND ECA.clm_txn_cd IN (\'Bl\', \'B2\') AND ECA.src_rec_stus_cd in (\'A\') and eca.clm_typ_cd ne \'R\' and ect.src_hist_curr_cd eq \'C\' and ect.1v13_acct_gid IN (&pgid_3) and ect.lvll_acct_gid IN (&pgid) and eca.1v13_acct_gid IN (&pgid_3) and eca.lvll_acct_gid IN (&pgid) GROUP BY 1,2,3,4,5,6,8,9,10,11 ORDER BY 1,2,3,4,5,6,8,9,10,11 DISCONNECT FROM Teradata;'), (137, ""create table work.eca as select eca.Carrier ,eca.acct ,coalesce(cag.FSR_DESC,'Unknown') as family ,eca.Ql_Status ,eca.clm_txn_cd ,eca.yr ,eca.mth ,sum(eca.dollars) as dollars ,eca.FAC_Submitted from work.eca left join work.anthem_cag_structure as cag on eca.LVLl_ACCT_ID = cag.carrier and eca.LVL2_ACCT_ID = cag.acct and eca.LVL3_acct_id = cag.grp group by 1,2,3,4,5,6,7,9 order by 1,2,3,4,5,6,7,9;"")]"
sas_script_4.sas,test_data,libname_lines,"['LIBNAME DWU_EDW TERADATA SERVER=PRDEDW2 SCHEMA=DWU_EDW_RB DEFER=YES user = &userid password = ""&password"";\n', 'LIBNAME DWU_PRC TERADATA SERVER=PRDEDW2 SCHEMA=DWU_PRC_RB DEFER=YES user = &userid password = ""&password"";\n', ""libname common '/fin_ops/medenc/common';\n"", 'LIBNAME mytera TERADATA SERVER=PRDEDW2 user = &userid password = ""&password"" database=sb_mc_enctr;\n']"
sas_script_4.sas,test_data,export_count,0
sas_script_4.sas,test_data,null_ds_count,1
sas_script_4.sas,test_data,hardcoded_dates,"[(74, ['2018-09-01']), (75, ['2020-08-31'])]"
sas_script_4.sas,test_data,file_ref,[]
sas_script_d1.sas,test_data/deeper_test_data,line_count,24
sas_script_d1.sas,test_data/deeper_test_data,sql_count,2
sas_script_d1.sas,test_data/deeper_test_data,sql_code,"[(4, 'CONNECT TO ORACLE (USER=your_username PASSWORD=your_password PATH=your_path);'), (12, 'CREATE TABLE mylib.mytable AS SELECT * FROM connection to ORACLE (SELECT * FROM my_oracle_table);')]"
sas_script_d1.sas,test_data/deeper_test_data,libname_lines,"[""LIBNAME mylib 'c:\\myfolder';\n""]"
sas_script_d1.sas,test_data/deeper_test_data,export_count,1
sas_script_d1.sas,test_data/deeper_test_data,null_ds_count,0
sas_script_d1.sas,test_data/deeper_test_data,hardcoded_dates,[]
sas_script_d1.sas,test_data/deeper_test_data,file_ref,"[(2, 'test_data/sas_script_1.sas')]"
